,level_0,Unnamed: 0.1,index,Unnamed: 0,morador,bloco_classificacao,numero_controle,bloco,dt_visita,dt_termino,tempo_total_entrev,idade,pais,estado,cidade,bairro_bh,regiao_bh,t_pernoite,t_qtpernoite,t_hospedagem,t_transp,t_motivo,t_outro_motivo,dias_carnaval,gasto_total,t_hospedagem.1,alimentacao,t_atrativos_passeios,transporte_interno,compras,ingressos,outros,total,qtd_pessoas_gasto,fonte_carnaval,participou_anos_anteriores,evolucao,motivo,expectativas,aval_geral,aval_banheiros,aval_seguranca,aval_precos,proxima_edicao,motivo_nao,blocos_de_rua,escola_samba_caricato,eventos_privados,palcos,t_visita_amigos,t_city_tour,t_visita_cultural,t_compras,t_gastronomia,principal_patrocinador,outro_patrocinador,genero,escolaridade,estado_civil,faixa_renda,int_renda,nivel_gastos,categoria_escolaridade,categoria_transporte,categoria_hospedagem,categoria_regiao,faixa_etaria
0,0,0,0,0,Morador,Outros,1,Tchanzinho Zona Norte,2018-02-09 17:39:00,2018-02-09 17:47:00,0 days 00:08:27,25,Brasil,Minas Gerais,Vespasiano,Desconhecido,Desconhecido,,,,,,,2,18.0,,10.0,,8.0,0.0,0.0,0.0,18.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",Nao respondeu,Atendeu plenamente,3.0,2.0,2.0,4.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Feminino,Ensino superior completo,Solteiro (a),,3,Baixo,Graduado,,Outros,Sudeste,24 até 39 anos
1,1,1,1,1,Morador,Outros,2,Tchanzinho Zona Norte,2018-02-09 17:39:00,2018-02-09 17:51:00,0 days 00:11:21,32,Brasil,Minas Gerais,Belo Horizonte,Cidade Nova,Nordeste,,,,,,,3,233.0,,70.0,,13.0,150.0,0.0,0.0,233.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Indiferente,7.0,5.0,7.0,8.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Feminino,Pos – Graduaçao – Mestrado,Solteiro (a),,5,Baixo,Pós,,Outros,Sudeste,24 até 39 anos
2,2,2,2,2,Morador,Outros,3,Tchanzinho Zona Norte,2018-02-09 17:40:00,2018-02-09 17:52:00,0 days 00:11:43,18,Brasil,Minas Gerais,Belo Horizonte,Planalto,Norte,,,,,,,6,330.0,,180.0,,50.0,100.0,0.0,0.0,330.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Superou,10.0,7.0,10.0,10.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Feminino,Ensino superior incompleto,Solteiro (a),,6,Baixo,Graduado,,Outros,Sudeste,16 até 24 anos
3,3,3,3,3,Morador,Outros,4,Tchanzinho Zona Norte,2018-02-09 17:43:00,2018-02-09 17:55:00,0 days 00:12:39,40,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,,,,,,,2,112.0,,100.0,,0.0,12.0,0.0,0.0,112.0,2.0,Amigos/Familiares,Nao,Nao respondeu,Nao respondeu,Indiferente,8.0,10.0,10.0,7.0,True,Retornara,True,False,False,False,,,,,,Brahma,Nao possui,Feminino,Ensino superior completo,Casado (a),,7,Baixo,Graduado,,Outros,Sudeste,39 até 59 anos
4,4,4,4,4,Morador,Outros,5,Tchanzinho Zona Norte,2018-02-09 17:49:00,2018-02-09 17:58:00,0 days 00:08:49,47,Brasil,Minas Gerais,Belo Horizonte,Paraiso,Leste,,,,,,,5,66.0,,50.0,,16.0,0.0,0.0,0.0,66.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,8.0,7.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino medio completo,Solteiro (a),,6,Baixo,Ensino Básico,,Outros,Sudeste,39 até 59 anos
5,5,5,5,5,Morador,Outros,6,Tchanzinho Zona Norte,2018-02-09 17:52:00,2018-02-09 18:03:00,0 days 00:10:43,23,Brasil,Minas Gerais,Belo Horizonte,Santo Agostinho,Centro sul,,,,,,,6,415.0,,300.0,,75.0,40.0,0.0,0.0,415.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,7.0,7.0,8.0,8.0,True,Retornara,True,False,False,False,,,,,,Ambev,Skol,Masculino,Ensino superior incompleto,Solteiro (a),,11,Baixo,Graduado,,Outros,Sudeste,16 até 24 anos
6,6,6,6,6,Morador,Outros,7,Tchanzinho Zona Norte,2018-02-09 17:55:00,2018-02-09 18:03:00,0 days 00:07:38,16,Brasil,Minas Gerais,Belo Horizonte,Renascença,Nordeste,,,,,,,6,60.0,,30.0,,30.0,0.0,0.0,0.0,60.0,2.0,Outro,Sim,Melhorou,Nao respondeu,Atendeu plenamente,1.0,8.0,1.0,8.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Ambev,Feminino,Ensino fundamental incompleto,Solteiro (a),,2,Baixo,Ensino Básico,,Outros,Sudeste,16 até 24 anos
7,7,7,7,7,Morador,Outros,8,Tchanzinho Zona Norte,2018-02-09 17:57:00,2018-02-09 18:07:00,0 days 00:10:22,58,Brasil,Minas Gerais,Belo Horizonte,Floramar,Norte,,,,,,,6,311.0,,300.0,,11.0,0.0,0.0,0.0,311.0,3.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,7.0,5.0,5.0,10.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Masculino,Ensino medio completo,Casado (a),,3,Baixo,Ensino Básico,,Outros,Sudeste,39 até 59 anos
8,8,8,8,8,Morador,Outros,9,Tchanzinho Zona Norte,2018-02-09 18:03:00,2018-02-09 18:13:00,0 days 00:10:18,65,Brasil,Minas Gerais,Belo Horizonte,Floresta,Leste,,,,,,,6,4000.0,,1050.0,,300.0,0.0,150.0,2500.0,4000.0,2.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",Nao respondeu,Superou,5.0,5.0,10.0,10.0,True,Retornara,True,False,True,False,,,,,,Blocos de rua,Belotur,Masculino,Ensino superior completo,Solteiro (a),,4,Alto,Graduado,,Outros,Sudeste,59 até 74 anos
9,9,9,9,9,Morador,Outros,10,Tchanzinho Zona Norte,2018-02-09 18:06:00,2018-02-09 18:13:00,0 days 00:07:41,25,Brasil,Minas Gerais,Belo Horizonte,Nova Suissa,Oeste,,,,,,,6,840.0,,300.0,,40.0,0.0,0.0,500.0,840.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,6.0,5.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Nao sabe,Nao possui,Feminino,Pos – Graduaçao – Mestrado,Outro,,5,Médio,Pós,,Outros,Sudeste,24 até 39 anos
