morador,numerocontrole,Bloco,DT_VISITA,DT_TERMINO,TEMPO_TOTAL_ENTREV,Idade,Pais,Estado,Cidade,Bairro_BH,Regiao_BH,T_pernoite,T_qtpernoite,T_hospedagem,T_transp,T_motivo,T_outromoivo,Dias_carnaval,Gasto_total,T_Hospedagem,Alimentacao,T_Atrativos_passeios,Transporte_interno,Compras,Ingressos,Outros,Total,Qtd_pessoas_gasto,Fonte_carnaval,Participou_anosanteriores,Evolucao,Motivo,Expectativas,Aval_geral,Aval_banheiros,Aval_seguranca,Aval_precos,Proxima_edicao,Motivo_nao,Blocos_de_Rua,Escola_samba_caricato,Eventos_privados,Palcos,T_visita_amigos,T_citytour,T_visitacultural,T_compras,T_gastronomia,Principal_patrocinador,Outr_patrocinador,Genero,Esclaridade,Estado_civil,Faixa_renda
Morador,1,Tchanzinho Zona Norte,09/02/2018 17:39,09/02/2018 17:47,0:08:27,25,Brasil,Minas Gerais,Vespasiano,NA,NA,NA,NA,NA,NA,NA,NA,2,18,NA,10,NA,8,,,,18,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",,Atendeu plenamente,3,2,2,4,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Ensino superior completo,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,2,Tchanzinho Zona Norte,09/02/2018 17:39,09/02/2018 17:51,0:11:21,32,Brasil,Minas Gerais,Belo Horizonte,Cidade Nova,Nordeste,NA,NA,NA,NA,NA,NA,3,233,NA,70,NA,13,150,,,233,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Indiferente,7,5,7,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Pos – Graduaçao – Mestrado,Solteiro (a),"de 4 a 5 salarios (R$ 3749,00 – R$ 4770,00)"
Morador,3,Tchanzinho Zona Norte,09/02/2018 17:40,09/02/2018 17:52,0:11:43,18,Brasil,Minas Gerais,Belo Horizonte,Planalto,Norte,NA,NA,NA,NA,NA,NA,6,330,NA,180,NA,50,100,,,330,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Superou,10,7,10,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Feminino,Ensino superior incompleto,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,4,Tchanzinho Zona Norte,09/02/2018 17:43,09/02/2018 17:55,0:12:39,40,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,NA,NA,NA,NA,NA,NA,2,112,NA,100,NA,,12,,,112,2,Amigos/Familiares,Nao,,,Indiferente,8,10,10,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Brahma,,Feminino,Ensino superior completo,Casado (a),"de 6 a 7 salarios (R$ 5623,00 – R$ 6678,00)"
Morador,5,Tchanzinho Zona Norte,09/02/2018 17:49,09/02/2018 17:58,0:08:49,47,Brasil,Minas Gerais,Belo Horizonte,Paraiso,Leste,NA,NA,NA,NA,NA,NA,5,66,NA,50,NA,16,,,,66,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,8,7,5,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino medio completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,6,Tchanzinho Zona Norte,09/02/2018 17:52,09/02/2018 18:03,0:10:43,23,Brasil,Minas Gerais,Belo Horizonte,Santo Agostinho,Centro sul,NA,NA,NA,NA,NA,NA,6,415,NA,300,NA,75,40,,,415,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,7,7,8,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Ambev,Skol,Masculino,Ensino superior incompleto,Solteiro (a),"Acima de 10 salarios (acima de R$ 9540,00)"
Morador,7,Tchanzinho Zona Norte,09/02/2018 17:55,09/02/2018 18:03,0:07:38,16,Brasil,Minas Gerais,Belo Horizonte,Renascença,Nordeste,NA,NA,NA,NA,NA,NA,6,60,NA,30,NA,30,,,,60,2,Outro,Sim,Melhorou,,Atendeu plenamente,1,8,1,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,Ambev,Feminino,Ensino fundamental incompleto,Solteiro (a),"de 1 a 2 salarios (R$ 954,00 – R$ 1908,00)"
Morador,8,Tchanzinho Zona Norte,09/02/2018 17:57,09/02/2018 18:07,0:10:22,58,Brasil,Minas Gerais,Belo Horizonte,Floramar,Norte,NA,NA,NA,NA,NA,NA,6,311,NA,300,NA,11,,,,311,3,Amigos/Familiares,Sim,Melhorou,,Superou,7,5,5,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Masculino,Ensino medio completo,Casado (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,9,Tchanzinho Zona Norte,09/02/2018 18:03,09/02/2018 18:13,0:10:18,65,Brasil,Minas Gerais,Belo Horizonte,Floresta,Leste,NA,NA,NA,NA,NA,NA,6,4000,NA,1050,NA,300,,150,2500,4000,2,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",,Superou,5,5,10,10,Sim,,Sim,Nao,Sim,Nao,NA,NA,NA,NA,NA,Blocos de rua,Belotur,Masculino,Ensino superior completo,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,10,Tchanzinho Zona Norte,09/02/2018 18:06,09/02/2018 18:13,0:07:41,25,Brasil,Minas Gerais,Belo Horizonte,Nova Suissa,Oeste,NA,NA,NA,NA,NA,NA,6,840,NA,300,NA,40,,,500,840,1,Amigos/Familiares,Sim,Melhorou,,Superou,6,5,5,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Feminino,Pos – Graduaçao – Mestrado,Outro,"de 4 a 5 salarios (R$ 3749,00 – R$ 4770,00)"
